onset	duration	trial_type	value	sample
14.497	0.0	Visual/AA	54	14497
16.496	0.0	Visual/DD	51	16496
18.537	0.0	Visual/AA	54	18537
20.417	0.0	Visual/AA	54	20417
22.336	0.0	Visual/AV	55	22336
24.556	0.0	Visual/DC	52	24556
26.757	0.0	Visual/AA	54	26757
28.935	0.0	Visual/DD	51	28935
30.956	0.0	Visual/DD	51	30956
32.815	0.0	Visual/AV	55	32815
34.856	0.0	Visual/VV	56	34856
36.805	0.0	Visual/CC	53	36805
38.666	0.0	Visual/AA	54	38666
40.706	0.0	Visual/DC	52	40706
42.855	0.0	Visual/CC	53	42855
44.866	0.0	Visual/AA	54	44866
46.826	0.0	Visual/VV	56	46826
48.866	0.0	Visual/AA	54	48866
50.905	0.0	Visual/CC	53	50905
53.125	0.0	Visual/AV	55	53125
55.096	0.0	Visual/DC	52	55096
57.006	0.0	Visual/AA	54	57006
58.886	0.0	Visual/DC	52	58886
60.965	0.0	Visual/AV	55	60965
63.014	0.0	Visual/CC	53	63014
64.866	0.0	Visual/DC	52	64866
66.955	0.0	Visual/AV	55	66955
68.876	0.0	Visual/AA	54	68876
71.046	0.0	Visual/VV	56	71046
72.965	0.0	Visual/VV	56	72965
75.045	0.0	Visual/AA	54	75045
77.095	0.0	Visual/VV	56	77095
79.094	0.0	Visual/DD	51	79094
81.094	0.0	Visual/AV	55	81094
83.076	0.0	Visual/VV	56	83076
85.135	0.0	Visual/DC	52	85135
87.254	0.0	Visual/CC	53	87254
89.224	0.0	Visual/DD	51	89224
91.334	0.0	Visual/CC	53	91334
93.475	0.0	Visual/DC	52	93475
95.664	0.0	Visual/AV	55	95664
97.745	0.0	Visual/VV	56	97745
99.734	0.0	Visual/AA	54	99734
101.685	0.0	Visual/VV	56	101685
103.785	0.0	Visual/AA	54	103785
105.925	0.0	Visual/AA	54	105925
107.944	0.0	Visual/CC	53	107944
110.034	0.0	Visual/AV	55	110034
112.165	0.0	Visual/VV	56	112165
114.165	0.0	Visual/AA	54	114165
116.155	0.0	Visual/VV	56	116155
118.234	0.0	Visual/DC	52	118234
120.274	0.0	Visual/VV	56	120274
122.483	0.0	Visual/AV	55	122483
124.463	0.0	Visual/DD	51	124463
126.534	0.0	Visual/AV	55	126534
128.413	0.0	Visual/AV	55	128413
130.374	0.0	Visual/VV	56	130374
132.564	0.0	Visual/DC	52	132564
134.473	0.0	Visual/DD	51	134473
136.474	0.0	Visual/DC	52	136474
138.644	0.0	Visual/DC	52	138644
140.783	0.0	Visual/AV	55	140783
142.943	0.0	Visual/DD	51	142943
145.134	0.0	Visual/VV	56	145134
147.053	0.0	Visual/AV	55	147053
149.194	0.0	Visual/VV	56	149194
151.403	0.0	Visual/CC	53	151403
153.403	0.0	Visual/CC	53	153403
155.253	0.0	Visual/DD	51	155253
157.284	0.0	Visual/VV	56	157284
159.243	0.0	Visual/CC	53	159243
161.123	0.0	Visual/AV	55	161123
163.223	0.0	Visual/DC	52	163223
165.133	0.0	Visual/AA	54	165133
167.082	0.0	Visual/DD	51	167082
169.092	0.0	Visual/CC	53	169092
171.273	0.0	Visual/DC	52	171273
173.392	0.0	Visual/DD	51	173392
175.243	0.0	Visual/DC	52	175243
177.452	0.0	Visual/AV	55	177452
179.323	0.0	Visual/AA	54	179323
181.343	0.0	Visual/VV	56	181343
183.353	0.0	Visual/DC	52	183353
185.243	0.0	Visual/DC	52	185243
187.262	0.0	Visual/DD	51	187262
189.402	0.0	Visual/AV	55	189402
191.592	0.0	Visual/CC	53	191592
193.653	0.0	Visual/AA	54	193653
195.713	0.0	Visual/AA	54	195713
197.902	0.0	Visual/CC	53	197902
199.982	0.0	Visual/AA	54	199982
201.842	0.0	Visual/VV	56	201842
203.943	0.0	Visual/DC	52	203943
206.141	0.0	Visual/DD	51	206141
208.172	0.0	Visual/DC	52	208172
210.162	0.0	Visual/AV	55	210162
212.202	0.0	Visual/CC	53	212202
214.232	0.0	Visual/AA	54	214232
216.181	0.0	Visual/AV	55	216181
218.091	0.0	Visual/CC	53	218091
220.301	0.0	Visual/CC	53	220301
222.481	0.0	Visual/DD	51	222481
224.611	0.0	Visual/DD	51	224611
226.502	0.0	Visual/VV	56	226502
228.442	0.0	Visual/AV	55	228442
230.601	0.0	Visual/DC	52	230601
232.452	0.0	Visual/VV	56	232452
234.6	0.0	Visual/CC	53	234600
236.442	0.0	Visual/AA	54	236442
238.651	0.0	Visual/DD	51	238651
240.822	0.0	Visual/VV	56	240822
242.691	0.0	Visual/AV	55	242691
244.861	0.0	Visual/CC	53	244861
246.901	0.0	Visual/CC	53	246901
248.872	0.0	Visual/VV	56	248872
250.89	0.0	Visual/DD	51	250890
252.84	0.0	Visual/DD	51	252840
254.921	0.0	Visual/DC	52	254921
256.791	0.0	Visual/VV	56	256791
258.931	0.0	Visual/VV	56	258931
260.942	0.0	Visual/DC	52	260942
262.88	0.0	Visual/DD	51	262880
265.001	0.0	Visual/DC	52	265001
267.0	0.0	Visual/AV	55	267000
268.9	0.0	Visual/DD	51	268900
270.771	0.0	Visual/AA	54	270771
273.0	0.0	Visual/DD	51	273000
275.03	0.0	Visual/AV	55	275030
277.0	0.0	Visual/CC	53	277000
279.01	0.0	Visual/DD	51	279010
281.041	0.0	Visual/DC	52	281041
283.26	0.0	Visual/CC	53	283260
285.37	0.0	Visual/AV	55	285370
287.491	0.0	Visual/DC	52	287491
289.411	0.0	Visual/AA	54	289411
291.36	0.0	Visual/CC	53	291360
293.29	0.0	Visual/AV	55	293290
295.411	0.0	Visual/AA	54	295411
297.62	0.0	Visual/CC	53	297620
299.5	0.0	Visual/DC	52	299500
301.699	0.0	Visual/CC	53	301699
303.679	0.0	Visual/DD	51	303679
305.709	0.0	Visual/DD	51	305709
307.7	0.0	Visual/VV	56	307700
309.709	0.0	Visual/CC	53	309709
311.559	0.0	Visual/AV	55	311559
313.44	0.0	Visual/DD	51	313440
315.49	0.0	Visual/AA	54	315490
317.46	0.0	Visual/VV	56	317460
