onset	duration	trial_type	value	sample
11.111	0.0	Temporal/DC	22	11111
14.42	0.0	Temporal/AA	24	14420
18.29	0.0	Temporal/DC	22	18290
22.39	0.0	Temporal/DC	22	22390
26.119	0.0	Temporal/CC	23	26119
31.019	0.0	Temporal/DD	21	31019
34.71	0.0	Temporal/VV	26	34710
37.99	0.0	Temporal/DC	22	37990
42.15	0.0	Temporal/AA	24	42150
45.638	0.0	Temporal/DD	21	45638
49.379	0.0	Temporal/DC	22	49379
53.628	0.0	Temporal/DD	21	53628
57.738	0.0	Temporal/AV	25	57738
62.489	0.0	Temporal/VV	26	62489
66.009	0.0	Temporal/AA	24	66009
69.448	0.0	Temporal/DD	21	69448
73.569	0.0	Temporal/AA	24	73569
77.347	0.0	Temporal/AV	25	77347
81.048	0.0	Temporal/DC	22	81048
84.899	0.0	Temporal/AA	24	84899
88.769	0.0	Temporal/VV	26	88769
92.888	0.0	Temporal/AA	24	92888
96.497	0.0	Temporal/CC	23	96497
101.197	0.0	Temporal/AV	25	101197
104.288	0.0	Temporal/VV	26	104288
107.907	0.0	Temporal/AV	25	107907
112.048	0.0	Temporal/VV	26	112048
116.327	0.0	Temporal/CC	23	116327
121.477	0.0	Temporal/CC	23	121477
126.637	0.0	Temporal/VV	26	126637
129.836	0.0	Temporal/AV	25	129836
133.626	0.0	Temporal/AV	25	133626
137.996	0.0	Temporal/DD	21	137996
142.857	0.0	Temporal/DC	22	142857
147.537	0.0	Temporal/AA	24	147537
151.456	0.0	Temporal/DD	21	151456
156.286	0.0	Temporal/DD	21	156286
159.767	0.0	Temporal/DC	22	159767
163.906	0.0	Temporal/AV	25	163906
168.487	0.0	Temporal/VV	26	168487
172.165	0.0	Temporal/CC	23	172165
176.516	0.0	Temporal/AV	25	176516
180.425	0.0	Temporal/CC	23	180425
186.246	0.0	Temporal/AA	24	186246
189.485	0.0	Temporal/CC	23	189485
192.336	0.0	Temporal/AA	24	192336
195.646	0.0	Temporal/AA	24	195646
200.255	0.0	Temporal/VV	26	200255
205.065	0.0	Temporal/AV	25	205065
208.696	0.0	Temporal/DC	22	208696
213.884	0.0	Temporal/DD	21	213884
217.785	0.0	Temporal/AA	24	217785
221.255	0.0	Temporal/VV	26	221255
226.146	0.0	Temporal/VV	26	226146
229.674	0.0	Temporal/AV	25	229674
233.274	0.0	Temporal/AV	25	233274
236.574	0.0	Temporal/DD	21	236574
241.485	0.0	Temporal/DC	22	241485
245.604	0.0	Temporal/AV	25	245604
248.945	0.0	Temporal/VV	26	248945
253.934	0.0	Temporal/AV	25	253934
258.754	0.0	Temporal/DC	22	258754
261.894	0.0	Temporal/DD	21	261894
265.903	0.0	Temporal/CC	23	265903
270.094	0.0	Temporal/VV	26	270094
273.903	0.0	Temporal/CC	23	273903
278.933	0.0	Temporal/CC	23	278933
283.014	0.0	Temporal/AA	24	283014
286.983	0.0	Temporal/AV	25	286983
290.703	0.0	Temporal/DD	21	290703
294.023	0.0	Temporal/CC	23	294023
298.484	0.0	Temporal/AA	24	298484
302.573	0.0	Temporal/VV	26	302573
306.354	0.0	Temporal/AA	24	306354
309.394	0.0	Temporal/VV	26	309394
314.232	0.0	Temporal/DD	21	314232
317.483	0.0	Temporal/AA	24	317483
320.922	0.0	Temporal/DD	21	320922
324.373	0.0	Temporal/DC	22	324373
327.612	0.0	Temporal/AV	25	327612
331.352	0.0	Temporal/DD	21	331352
335.273	0.0	Temporal/DC	22	335273
338.732	0.0	Temporal/DD	21	338732
342.091	0.0	Temporal/DD	21	342091
345.461	0.0	Temporal/CC	23	345461
348.813	0.0	Temporal/VV	26	348813
354.342	0.0	Temporal/DC	22	354342
358.631	0.0	Temporal/AV	25	358631
361.692	0.0	Temporal/VV	26	361692
368.062	0.0	Temporal/AA	24	368062
371.67	0.0	Temporal/CC	23	371670
375.572	0.0	Temporal/DC	22	375572
379.102	0.0	Temporal/DC	22	379102
383.262	0.0	Temporal/VV	26	383262
387.141	0.0	Temporal/AV	25	387141
390.611	0.0	Temporal/AA	24	390611
393.91	0.0	Temporal/AV	25	393910
400.19	0.0	Temporal/DD	21	400190
402.96	0.0	Temporal/CC	23	402960
406.281	0.0	Temporal/DC	22	406281
409.18	0.0	Temporal/CC	23	409180
413.09	0.0	Temporal/CC	23	413090
416.691	0.0	Temporal/DC	22	416691
419.981	0.0	Temporal/AA	24	419981
423.25	0.0	Temporal/AA	24	423250
427.56	0.0	Temporal/CC	23	427560
431.29	0.0	Temporal/VV	26	431290
434.92	0.0	Temporal/DC	22	434920
438.689	0.0	Temporal/AV	25	438689
442.669	0.0	Temporal/DD	21	442669
446.179	0.0	Temporal/AV	25	446179
450.869	0.0	Temporal/CC	23	450869
455.049	0.0	Temporal/CC	23	455049
458.409	0.0	Temporal/AV	25	458409
461.949	0.0	Temporal/CC	23	461949
465.219	0.0	Temporal/DD	21	465219
468.149	0.0	Temporal/CC	23	468149
471.44	0.0	Temporal/DC	22	471440
475.039	0.0	Temporal/VV	26	475039
478.76	0.0	Temporal/VV	26	478760
483.259	0.0	Temporal/AV	25	483259
486.519	0.0	Temporal/DC	22	486519
490.509	0.0	Temporal/DD	21	490509
493.639	0.0	Temporal/DC	22	493639
497.668	0.0	Temporal/VV	26	497668
500.989	0.0	Temporal/DC	22	500989
504.769	0.0	Temporal/AA	24	504769
508.819	0.0	Temporal/AA	24	508819
511.808	0.0	Temporal/AV	25	511808
516.048	0.0	Temporal/DD	21	516048
520.028	0.0	Temporal/AA	24	520028
523.087	0.0	Temporal/DD	21	523087
526.808	0.0	Temporal/DC	22	526808
529.907	0.0	Temporal/AV	25	529907
533.177	0.0	Temporal/CC	23	533177
536.688	0.0	Temporal/VV	26	536688
539.847	0.0	Temporal/CC	23	539847
543.068	0.0	Temporal/AA	24	543068
546.328	0.0	Temporal/AA	24	546328
551.227	0.0	Temporal/AV	25	551227
554.937	0.0	Temporal/DD	21	554937
558.227	0.0	Temporal/CC	23	558227
562.017	0.0	Temporal/CC	23	562017
565.206	0.0	Temporal/DD	21	565206
568.678	0.0	Temporal/VV	26	568678
572.497	0.0	Temporal/DC	22	572497
575.677	0.0	Temporal/AA	24	575677
581.387	0.0	Temporal/VV	26	581387
584.566	0.0	Temporal/DD	21	584566
587.897	0.0	Temporal/VV	26	587897
